name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,agent,national_player,caps/goals,foot,age,current_international,former_international
Jonas Wind,/jonas-wind/profil/spieler/391004,€14.00m,VfL Wolfsburg,GER,"Feb 7, 1999 (24)",Hvidovre,Denmark,"1,90 m",Centre-Forward,,,18 / 6,right,24,Denmark,
Lukas Nmecha,/lukas-nmecha/profil/spieler/314288,€12.00m,VfL Wolfsburg,GER,"Dec 14, 1998 (24)",Hamburg,Germany,"1,85 m",Centre-Forward,,Germany,Jul-00,right,24,,
Amin Sarr,/amin-sarr/profil/spieler/748382,€8.00m,VfL Wolfsburg,GER,"Mar 11, 2001 (22)",Malmö,Sweden,"1,88 m",Centre-Forward,,,3-Oct,right,22,,Sweden U21
Tiago Tomás,/tiago-tomas/profil/spieler/616344,€7.00m,VfL Wolfsburg,GER,"Jun 16, 2002 (21)",Cascais,Portugal,"1,80 m",Centre-Forward,Proeleven S.A.,,2-Aug,right,21,Portugal U21,
Dzenan Pejcinovic,/dzenan-pejcinovic/profil/spieler/819636,€1.00m,VfL Wolfsburg,GER,"Feb 15, 2005 (18)",München,Germany,"1,88 m",Centre-Forward,Karl M. Herzog ...,,0 / 0,left,18,Germany U19,
Frederik Rönnow,/frederik-ronnow/profil/spieler/107775,€5.50m,1.FC Union Berlin,GER,"Aug 4, 1992 (31)",Horsens,Denmark,"1,88 m",Goalkeeper,,,Aug-00,right,31,Denmark,
Alexander Schwolow,/alexander-schwolow/profil/spieler/93763,€900k,1.FC Union Berlin,GER,"Jun 2, 1992 (31)",Wiesbaden,Germany,"1,90 m",Goalkeeper,,,Jul-00,right,31,,Germany U20
Jakob Busk,/jakob-busk/profil/spieler/203411,€250k,1.FC Union Berlin,GER,"Sep 12, 1993 (29)",Kopenhagen,Denmark,"1,89 m",Goalkeeper,,,17 / 0,right,29,,Denmark U21
Yannic Stein,/yannic-stein/profil/spieler/698840,€200k,1.FC Union Berlin,GER,"Sep 17, 2004 (18)",Berlin,Germany,"1,90 m",Goalkeeper,,Germany U19,Jan-00,,18,,
Danilho Doekhi,/danilho-doekhi/profil/spieler/387047,€17.00m,1.FC Union Berlin,GER,"Jun 30, 1998 (25)",Rotterdam,Netherlands,"1,90 m",Centre-Back,,,May-00,right,25,,Netherlands U21
Diogo Leite,/diogo-leite/profil/spieler/357156,€15.00m,1.FC Union Berlin,GER,"Jan 23, 1999 (24)",Porto,Portugal,"1,90 m",Centre-Back,,Portugal,0 / 0,left,24,,
Paul Jaeckel,/paul-jaeckel/profil/spieler/284248,€5.00m,1.FC Union Berlin,GER,"Jul 22, 1998 (25)",Eisenhüttenstadt,Germany,"1,86 m",Centre-Back,Karl M. Herzog ...,,Feb-00,right,25,,Germany U21
Robin Knoche,/robin-knoche/profil/spieler/94201,€5.00m,1.FC Union Berlin,GER,"May 22, 1992 (31)",Braunschweig,Germany,"1,89 m",Centre-Back,Sports360 GmbH,,0 / 0,right,31,,Germany
Leonardo Bonucci,/leonardo-bonucci/profil/spieler/39983,€1.50m,1.FC Union Berlin,GER,"May 1, 1987 (36)",Viterbo,Italy,"1,90 m",Centre-Back,,Italy,121 / 8,right,36,,
Jérôme Roussillon,/jerome-roussillon/profil/spieler/127076,€3.00m,1.FC Union Berlin,GER,"Jan 6, 1993 (30)",Sarcelles,Guadeloupe,"1,72 m",Left-Back,,,Feb-00,left,30,Guadeloupe,
Josip Juranovic,/josip-juranovic/profil/spieler/362977,€12.00m,1.FC Union Berlin,GER,"Aug 16, 1995 (28)",Zagreb,Croatia,"1,73 m",Right-Back,,,32 / 0,right,28,Croatia,
Christopher Trimmel,/christopher-trimmel/profil/spieler/75921,€800k,1.FC Union Berlin,GER,"Feb 24, 1987 (36)",Oberpullendorf,Austria,"1,89 m",Right-Back,ROOF,Austria,25 / 1,right,36,,
Rani Khedira,/rani-khedira/profil/spieler/124410,€10.00m,1.FC Union Berlin,GER,"Jan 27, 1994 (29)",Stuttgart,Germany,"1,89 m",Defensive Midfield,,,0 / 0,right,29,,Germany U21
Lucas Tousart,/lucas-tousart/profil/spieler/353948,€9.00m,1.FC Union Berlin,GER,"Apr 29, 1997 (26)",Arras,France,"1,84 m",Defensive Midfield,,,Jan-00,right,26,,France U23
Alex Kral,/alex-kral/profil/spieler/337333,€7.00m,1.FC Union Berlin,GER,"May 19, 1998 (25)",Košice,Czech Republic,"1,86 m",Defensive Midfield,,,37 / 2,right,25,Czechia,
Aljoscha Kemlein,/aljoscha-kemlein/profil/spieler/692737,€250k,1.FC Union Berlin,GER,"Aug 2, 2004 (19)",Berlin,Germany,"1,85 m",Defensive Midfield,,,Jan-00,,19,Germany U20,
Janik Haberer,/janik-haberer/profil/spieler/177779,€7.00m,1.FC Union Berlin,GER,"Apr 2, 1994 (29)",Wangen im Allgäu,Germany,"1,86 m",Central Midfield,Unique Sports Group,,1-Sep,right,29,,Germany U21
Aïssa Laïdouni,/aissa-laidouni/profil/spieler/233782,€7.00m,1.FC Union Berlin,GER,"Dec 13, 1996 (26)",Montfermeil,Tunisia,"1,84 m",Central Midfield,,,33 / 1,right,26,Tunisia,
András Schäfer,/andras-schafer/profil/spieler/454863,€5.00m,1.FC Union Berlin,GER,"Apr 13, 1999 (24)",Szombathely,Hungary,"1,78 m",Central Midfield,,Hungary,22 / 3,right,24,,
Laurenz Dehl,/laurenz-dehl/profil/spieler/451403,€200k,1.FC Union Berlin,GER,"Dec 12, 2001 (21)",Berlin,Germany,"1,80 m",Right Midfield,,,,right,21,,
Robin Gosens,/robin-gosens/profil/spieler/273132,€15.00m,1.FC Union Berlin,GER,"Jul 5, 1994 (29)",Emmerich,Germany,"1,83 m",Left Midfield,,,17 / 2,left,29,Germany,
Brenden Aaronson,/brenden-aaronson/profil/spieler/393323,€25.00m,1.FC Union Berlin,GER,"Oct 22, 2000 (22)","Medford, New Jersey",United States,"1,77 m",Attacking Midfield,,,33 / 7,right,22,USA,
Sheraldo Becker,/sheraldo-becker/profil/spieler/188888,€17.00m,1.FC Union Berlin,GER,"Feb 9, 1995 (28)",Amsterdam,Suriname,"1,80 m",Second Striker,Sports360 GmbH,Suriname,2-Jul,right,28,,
David Datro Fofana,/david-datro-fofana/profil/spieler/787232,€10.00m,1.FC Union Berlin,GER,"Dec 22, 2002 (20)",Ouragahio,Cote d'Ivoire,"1,80 m",Centre-Forward,,,0 / 0,right,20,Ivory Coast U23,
Kevin Volland,/kevin-volland/profil/spieler/82009,€8.00m,1.FC Union Berlin,GER,"Jul 30, 1992 (31)",Marktoberdorf,Germany,"1,79 m",Centre-Forward,Unique Sports Group,,15 / 1,left,31,,Germany
Mikkel Kaufmann,/mikkel-kaufmann/profil/spieler/545332,€2.70m,1.FC Union Berlin,GER,"Jan 3, 2001 (22)",Hjørring,Denmark,"1,89 m",Centre-Forward,,,Feb-00,right,22,,Denmark U21
Kevin Behrens,/kevin-behrens/profil/spieler/117432,€2.00m,1.FC Union Berlin,GER,"Feb 3, 1991 (32)",Bremen,Germany,"1,85 m",Centre-Forward,,,,na,32,,
Benedict Hollerbach,/benedict-hollerbach/profil/spieler/453870,€1.20m,1.FC Union Berlin,GER,"May 17, 2001 (22)",Starnberg,Germany,"1,81 m",Centre-Forward,PRO Profil GmbH,,1-Feb,right,22,,Germany U18
Jonas Omlin,/jonas-omlin/profil/spieler/247915,€9.00m,Borussia Mönchengladbach,GER,"Jan 10, 1994 (29)",Sarnen,Switzerland,"1,90 m",Goalkeeper,,Switzerland,Apr-00,right,29,,
Jan Olschowsky,/jan-olschowsky/profil/spieler/455922,€800k,Borussia Mönchengladbach,GER,"Nov 18, 2001 (21)",Neuss,Germany,"1,84 m",Goalkeeper,B360 Sports,,Jan-00,right,21,,Germany U20
Tobias Sippel,/tobias-sippel/profil/spieler/31653,€400k,Borussia Mönchengladbach,GER,"Mar 22, 1988 (35)",Bad Dürkheim,Germany,"1,83 m",Goalkeeper,,,0 / 0,right,35,,Germany
Moritz Nicolas,/moritz-nicolas/profil/spieler/284270,€350k,Borussia Mönchengladbach,GER,"Oct 21, 1997 (25)",Gladbeck,Germany,"1,93 m",Goalkeeper,ROOF,,Jan-00,right,25,,Germany U21
Nico Elvedi,/nico-elvedi/profil/spieler/192635,€18.00m,Borussia Mönchengladbach,GER,"Sep 30, 1996 (26)",Zürich,Switzerland,"1,89 m",Centre-Back,,,47 / 1,right,26,Switzerland,
Maximilian Wöber,/maximilian-wober/profil/spieler/263361,€14.00m,Borussia Mönchengladbach,GER,"Feb 4, 1998 (25)",Wien,Austria,"1,88 m",Centre-Back,,,16 / 0,left,25,Austria,
Ko Itakura,/ko-itakura/profil/spieler/355816,€12.00m,Borussia Mönchengladbach,GER,"Jan 27, 1997 (26)","Yokohama, Kanagawa",Japan,"1,88 m",Centre-Back,,,21 / 1,right,26,Japan,
Marvin Friedrich,/marvin-friedrich/profil/spieler/196231,€4.00m,Borussia Mönchengladbach,GER,"Dec 13, 1995 (27)",Kassel,Germany,"1,93 m",Centre-Back,ROOF,,Apr-00,right,27,,Germany U20
Fabio Chiarodia,/fabio-chiarodia/profil/spieler/724104,€1.00m,Borussia Mönchengladbach,GER,"Jun 5, 2005 (18)",Oldenburg,Italy,"1,86 m",Centre-Back,Sports360 GmbH,,Aug-00,left,18,Italy U19,
Tony Jantschke,/tony-jantschke/profil/spieler/47587,€600k,Borussia Mönchengladbach,GER,"Apr 7, 1990 (33)",Hoyerswerda,Germany,"1,77 m",Centre-Back,,,18 / 0,right,33,,Germany U21
Mamadou Doucouré,/mamadou-doucoure/profil/spieler/340480,€100k,Borussia Mönchengladbach,GER,"May 21, 1998 (25)",Dakar,France,"1,83 m",Centre-Back,,,1-Nov,left,25,,France U18
Luca Netz,/luca-netz/profil/spieler/524285,€6.50m,Borussia Mönchengladbach,GER,"May 15, 2003 (20)",Berlin,Germany,"1,84 m",Left-Back,11WINS,Germany U21,Nov-00,left,20,,
Lukas Ullrich,/lukas-ullrich/profil/spieler/787151,€750k,Borussia Mönchengladbach,GER,"Mar 16, 2004 (19)",Berlin,Germany,"1,80 m",Left-Back,SEG,,Jan-00,left,19,Germany U20,
Joe Scally,/joe-scally/profil/spieler/504153,€12.00m,Borussia Mönchengladbach,GER,"Dec 31, 2002 (20)","Lake Grove, New York",United States,"1,84 m",Right-Back,,,Jun-00,right,20,USA,
Stefan Lainer,/stefan-lainer/profil/spieler/85791,€3.00m,Borussia Mönchengladbach,GER,"Aug 27, 1992 (31)",Salzburg,Austria,"1,75 m",Right-Back,ROOF,Austria,38 / 2,right,31,,
Simon Walde,/simon-walde/profil/spieler/912455,€500k,Borussia Mönchengladbach,GER,"Jan 4, 2005 (18)",Düsseldorf,Germany,"1,85 m",Right-Back,,,Jan-00,right,18,Germany U19,
Julian Weigl,/julian-weigl/profil/spieler/196792,€10.00m,Borussia Mönchengladbach,GER,"Sep 8, 1995 (28)",Bad Aibling,Germany,"1,86 m",Defensive Midfield,Sports360 GmbH,,Jun-00,right,28,,Germany
Christoph Kramer,/christoph-kramer/profil/spieler/82097,€2.50m,Borussia Mönchengladbach,GER,"Feb 19, 1991 (32)",Solingen,Germany,"1,91 m",Defensive Midfield,ROOF,,Dec-00,right,32,,Germany
Manu Koné,/manu-kone/profil/spieler/624690,€40.00m,Borussia Mönchengladbach,GER,"May 17, 2001 (22)",Colombes,France,"1,85 m",Central Midfield,Classico,France U21,Nov-00,right,22,,
Florian Neuhaus,/florian-neuhaus/profil/spieler/278332,€12.00m,Borussia Mönchengladbach,GER,"Mar 16, 1997 (26)",Landsberg am Lech,Germany,"1,85 m",Central Midfield,CN Sports,,2-Oct,right,26,,Germany
Rocco Reitz,/rocco-reitz/profil/spieler/467434,€800k,Borussia Mönchengladbach,GER,"May 29, 2002 (21)",Duisburg,Germany,"1,76 m",Central Midfield,Sports360 GmbH,,Jan-00,right,21,,Germany U16
Hannes Wolf,/hannes-wolf/profil/spieler/321070,€3.00m,Borussia Mönchengladbach,GER,"Apr 16, 1999 (24)",Graz,Austria,"1,79 m",Left Winger,,,0 / 0,left,24,,Austria
Robin Hack,/robin-hack/profil/spieler/284010,€3.00m,Borussia Mönchengladbach,GER,"Aug 27, 1998 (25)",Pforzheim,Germany,"1,78 m",Left Winger,CN Sports,,3-May,right,25,,Germany U21
Yvandro Borges Sanches,/yvandro-borges-sanches/profil/spieler/586659,€1.50m,Borussia Mönchengladbach,GER,"May 24, 2004 (19)",Luxemburg,Luxembourg,"1,75 m",Left Winger,,,22 / 3,right,19,Luxembourg,
Franck Honorat,/franck-honorat/profil/spieler/229006,€10.00m,Borussia Mönchengladbach,GER,"Aug 11, 1996 (27)",Toulon,France,"1,80 m",Right Winger,,,Mar-00,right,27,,France U19
Nathan Ngoumou,/nathan-ngoumou/profil/spieler/629588,€5.00m,Borussia Mönchengladbach,GER,"Mar 14, 2000 (23)",Toulouse,France,"1,85 m",Right Winger,,France U21,Sep-00,right,23,,
Patrick Herrmann,/patrick-herrmann/profil/spieler/32711,€1.50m,Borussia Mönchengladbach,GER,"Feb 12, 1991 (32)",Uchtelfangen,Germany,"1,79 m",Right Winger,PRO Profil GmbH,,Feb-00,right,32,,Germany
Alassane Plea,/alassane-plea/profil/spieler/167329,€8.00m,Borussia Mönchengladbach,GER,"Mar 10, 1993 (30)",Lille,France,"1,81 m",Centre-Forward,,,Jan-00,right,30,,France
Jordan,/jordan/profil/spieler/355369,€7.00m,Borussia Mönchengladbach,GER,"Apr 26, 1996 (27)","Washington, D. C.",United States,"1,91 m",Centre-Forward,Gestifute,,1-Sep,right,27,,USA
Tomas Cvancara,/tomas-cvancara/profil/spieler/544148,€4.00m,Borussia Mönchengladbach,GER,"Aug 13, 2000 (23)",Neratovice,Czech Republic,"1,90 m",Centre-Forward,,,1-Mar,right,23,Czechia,
Grant-Leon Ranos,/grant-leon-ranos/profil/spieler/574201,€1.00m,Borussia Mönchengladbach,GER,"Jul 20, 2003 (20)",Gehrden,Armenia,"1,80 m",Centre-Forward,11WINS,,4-Apr,right,20,Armenia,
Kevin Trapp,/kevin-trapp/profil/spieler/45672,€8.50m,Eintracht Frankfurt,GER,"Jul 8, 1990 (33)",Merzig,Germany,"1,89 m",Goalkeeper,Sports360 GmbH,,Jul-00,right,33,Germany,
Kauã Santos,/kaua-santos/profil/spieler/997861,€400k,Eintracht Frankfurt,GER,"Apr 11, 2003 (20)",Vassouras,Brazil,"1,96 m",Goalkeeper,,,Jan-00,right,20,Brazil U20,
Jens Grahl,/jens-grahl/profil/spieler/40034,€200k,Eintracht Frankfurt,GER,"Sep 22, 1988 (34)",Stuttgart,Germany,"1,92 m",Goalkeeper,,,,right,34,,
Simon Simoni,/simon-simoni/profil/spieler/726120,€200k,Eintracht Frankfurt,GER,"Jul 14, 2004 (19)",Lezhë,Albania,"1,94 m",Goalkeeper,,,Aug-00,right,19,Albania U21,
Robin Koch,/robin-koch/profil/spieler/328784,€18.00m,Eintracht Frankfurt,GER,"Jul 17, 1996 (27)",Kaiserslautern,Germany,"1,91 m",Centre-Back,11WINS,,Aug-00,right,27,,Germany
Tuta,/tuta/profil/spieler/546213,€15.00m,Eintracht Frankfurt,GER,"Jul 4, 1999 (24)",São Paulo,Brazil,"1,85 m",Centre-Back,,,,right,24,,
Willian Pacho,/willian-pacho/profil/spieler/661171,€11.00m,Eintracht Frankfurt,GER,"Oct 16, 2001 (21)",Quinindé,Ecuador,"1,87 m",Centre-Back,,,2-Apr,left,21,Ecuador,
Hrvoje Smolcic,/hrvoje-smolcic/profil/spieler/571299,€4.00m,Eintracht Frankfurt,GER,"Aug 17, 2000 (23)",Gospić,Croatia,"1,85 m",Centre-Back,,Croatia U21,Jun-00,left,23,,
Makoto Hasebe,/makoto-hasebe/profil/spieler/39259,€800k,Eintracht Frankfurt,GER,"Jan 18, 1984 (39)","Fujieda, Shizuoka",Japan,"1,80 m",Centre-Back,PRO Profil GmbH,,114 / 2,right,39,,Japan
Nnamdi Collins,/nnamdi-collins/profil/spieler/684315,€750k,Eintracht Frankfurt,GER,"Jan 10, 2004 (19)",Düsseldorf,Germany,"1,91 m",Centre-Back,11WINS,,0 / 0,right,19,Germany U20,
Dario Gebuhr,/dario-gebuhr/profil/spieler/666168,€400k,Eintracht Frankfurt,GER,"May 6, 2003 (20)",Wiesbaden,Germany,"1,88 m",Centre-Back,,,,na,20,,
Davis Bautista,/davis-bautista/profil/spieler/993870,€250k,Eintracht Frankfurt,GER,"Feb 16, 2005 (18)",Quito,Ecuador,"1,84 m",Centre-Back,,Ecuador U20,Nov-00,left,18,,
Niels Nkounkou,/niels-nkounkou/profil/spieler/591193,€5.00m,Eintracht Frankfurt,GER,"Nov 1, 2000 (22)",Pontoise,France,"1,80 m",Left-Back,,France U21,Jun-00,left,22,,
Philipp Max,/philipp-max/profil/spieler/111275,€3.00m,Eintracht Frankfurt,GER,"Sep 30, 1993 (29)",Viersen,Germany,"1,77 m",Left-Back,Sports360 GmbH,,Mar-00,left,29,,Germany
Aurélio Buta,/aurelio-buta/profil/spieler/258039,€8.00m,Eintracht Frankfurt,GER,"Feb 10, 1997 (26)",Miconge,Portugal,"1,72 m",Right-Back,Proeleven S.A.,,May-00,right,26,,Portugal U20
Timothy Chandler,/timothy-chandler/profil/spieler/49723,€700k,Eintracht Frankfurt,GER,"Mar 29, 1990 (33)",Frankfurt am Main,United States,"1,86 m",Right-Back,Sports eXcellence ...,,29 / 1,right,33,,USA
Ellyes Skhiri,/ellyes-skhiri/profil/spieler/290587,€13.00m,Eintracht Frankfurt,GER,"May 10, 1995 (28)",Lunel,Tunisia,"1,85 m",Defensive Midfield,CAA Stellar,,55 / 3,right,28,Tunisia,
Kristijan Jakic,/kristijan-jakic/profil/spieler/374954,€7.00m,Eintracht Frankfurt,GER,"May 14, 1997 (26)",Split,Croatia,"1,81 m",Defensive Midfield,,Croatia,May-00,right,26,,
Junior Dina Ebimbe,/junior-dina-ebimbe/profil/spieler/536482,€10.00m,Eintracht Frankfurt,GER,"Nov 21, 2000 (22)",Stains,France,"1,84 m",Central Midfield,Sports360 GmbH,,Jan-00,right,22,,France U21
Hugo Larsson,/hugo-larsson/profil/spieler/931838,€9.00m,Eintracht Frankfurt,GER,"Jun 27, 2004 (19)",Svarte,Sweden,"1,87 m",Central Midfield,,,1-Feb,right,19,Sweden U21,
Sebastian Rode,/sebastian-rode/profil/spieler/44466,€2.00m,Eintracht Frankfurt,GER,"Oct 11, 1990 (32)",Seeheim-Jugenheim,Germany,"1,79 m",Central Midfield,PRO Profil GmbH,,Jun-00,right,32,,Germany U21
Marcel Wenig,/marcel-wenig/profil/spieler/654872,€800k,Eintracht Frankfurt,GER,"May 4, 2004 (19)",Nürnberg,Germany,"1,88 m",Central Midfield,,,Mar-00,right,19,,Germany U19
Sidney Raebiger,/sidney-raebiger/profil/spieler/717345,€750k,Eintracht Frankfurt,GER,"Apr 17, 2005 (18)",Freiberg,Germany,"1,76 m",Central Midfield,CN Sports,Germany U18,2-Sep,right,18,,
Mehdi Loune,/mehdi-loune/profil/spieler/519869,€300k,Eintracht Frankfurt,GER,"May 14, 2004 (19)",Hanau,Germany,"1,72 m",Central Midfield,Dirk Hebel,,Jan-00,,19,,Morocco U20
Harpreet Ghotra,/harpreet-ghotra/profil/spieler/486456,,Eintracht Frankfurt,GER,"Jan 17, 2003 (20)",Frankfurt am Main,Germany,"1,80 m",Central Midfield,,,,right,20,,
Ansgar Knauff,/ansgar-knauff/profil/spieler/429874,€8.00m,Eintracht Frankfurt,GER,"Jan 10, 2002 (21)",Göttingen,Germany,"1,80 m",Right Midfield,,,1-Sep,right,21,Germany U21,
Mario Götze,/mario-gotze/profil/spieler/74842,€12.00m,Eintracht Frankfurt,GER,"Jun 3, 1992 (31)",Memmingen,Germany,"1,76 m",Attacking Midfield,Sports360 GmbH,Germany,66 / 17,right,31,,
Paxten Aaronson,/paxten-aaronson/profil/spieler/795738,€4.50m,Eintracht Frankfurt,GER,"Aug 26, 2003 (20)","Medford, New Jersey",United States,"1,75 m",Attacking Midfield,,USA,Jan-00,right,20,,
Farès Chaïbi,/fares-chaibi/profil/spieler/855015,€10.00m,Eintracht Frankfurt,GER,"Nov 28, 2002 (20)",Lyon,Algeria,"1,83 m",Left Winger,,,Mar-00,right,20,Algeria,
Jens Petter Hauge,/jens-petter-hauge/profil/spieler/422355,€2.50m,Eintracht Frankfurt,GER,"Oct 12, 1999 (23)",Bodø,Norway,"1,84 m",Left Winger,,,Oct-00,right,23,,Norway
Omar Marmoush,/omar-marmoush/profil/spieler/445939,€6.00m,Eintracht Frankfurt,GER,"Feb 7, 1999 (24)",Kairo,Egypt,"1,83 m",Centre-Forward,CAA Stellar,,18 / 4,right,24,Egypt,
Jessic Ngankam,/jessic-ngankam/profil/spieler/448177,€5.00m,Eintracht Frankfurt,GER,"Jul 20, 2000 (23)",Berlin,Germany,"1,84 m",Centre-Forward,Sports360 GmbH,Germany U21,1-May,right,23,,
Lucas Alario,/lucas-alario/profil/spieler/193782,€2.50m,Eintracht Frankfurt,GER,"Oct 8, 1992 (30)","Tostado, Santa Fe",Argentina,"1,85 m",Centre-Forward,,,3-Sep,right,30,,Argentina
Nacho,/nacho/profil/spieler/867357,€500k,Eintracht Frankfurt,GER,"Oct 5, 2004 (18)",Montaverner,Spain,"1,92 m",Centre-Forward,,Spain U19,Jan-00,right,18,,
Noel Futkeu,/noel-futkeu/profil/spieler/675535,,Eintracht Frankfurt,GER,"Dec 6, 2002 (20)",Essen,Germany,"1,83 m",Centre-Forward,,,,right,20,,
Noah Atubolu,/noah-atubolu/profil/spieler/526845,€3.50m,SC Freiburg,GER,"May 25, 2002 (21)",Freiburg im Breisgau,Germany,"1,90 m",Goalkeeper,Unique Sports Group,,Oct-00,right,21,Germany U21,
Florian Müller,/florian-muller/profil/spieler/284769,€1.50m,SC Freiburg,GER,"Nov 13, 1997 (25)",Saarlouis,Germany,"1,90 m",Goalkeeper,PRO Profil GmbH,,Feb-00,left,25,,Germany U21
Benjamin Uphoff,/benjamin-uphoff/profil/spieler/120296,€500k,SC Freiburg,GER,"Aug 8, 1993 (30)",Burghausen,Germany,"1,92 m",Goalkeeper,Karl M. Herzog ...,,,right,30,,
Philipp Lienhart,/philipp-lienhart/profil/spieler/225657,€20.00m,SC Freiburg,GER,"Jul 11, 1996 (27)",Lilienfeld,Austria,"1,89 m",Centre-Back,,,13 / 0,right,27,Austria,
Matthias Ginter,/matthias-ginter/profil/spieler/124502,€18.00m,SC Freiburg,GER,"Jan 19, 1994 (29)",Freiburg im Breisgau,Germany,"1,89 m",Centre-Back,Unique Sports Group,Germany,51 / 2,right,29,,
Kenneth Schmidt,/kenneth-schmidt/profil/spieler/527276,€3.00m,SC Freiburg,GER,"Jun 3, 2002 (21)",Freiburg im Breisgau,Germany,"1,87 m",Centre-Back,Unique Sports Group,,Feb-00,left,21,Germany U21,
Manuel Gulde,/manuel-gulde/profil/spieler/45683,€1.50m,SC Freiburg,GER,"Feb 12, 1991 (32)",Mannheim,Germany,"1,84 m",Centre-Back,Unique Sports Group,,Jan-00,right,32,,Germany U20
Max Rosenfelder,/max-rosenfelder/profil/spieler/599419,€500k,SC Freiburg,GER,"Feb 10, 2003 (20)",Freiburg im Breisgau,Germany,"1,86 m",Centre-Back,Unique Sports Group,,0 / 0,right,20,,Germany U20
Christian Günter,/christian-gunter/profil/spieler/93707,€7.50m,SC Freiburg,GER,"Feb 28, 1993 (30)",Villingen-Schwenning...,Germany,"1,84 m",Left-Back,Unique Sports Group,Germany,Aug-00,left,30,,
Jordy Makengo,/jordy-makengo/profil/spieler/815078,€350k,SC Freiburg,GER,"Aug 3, 2001 (22)",Saint-Denis,France,"1,91 m",Left-Back,,,,left,22,,
Kiliann Sildillia,/kiliann-sildillia/profil/spieler/548348,€12.00m,SC Freiburg,GER,"May 16, 2002 (21)",Montigny-lès-Metz,France,"1,86 m",Right-Back,ROGON,,Apr-00,right,21,,France U20
Lukas Kübler,/lukas-kubler/profil/spieler/93604,€2.50m,SC Freiburg,GER,"Aug 30, 1992 (31)",Bonn,Germany,"1,82 m",Right-Back,ROOF,,0 / 0,right,31,,Germany U20
Yannik Keitel,/yannik-keitel/profil/spieler/342039,€4.00m,SC Freiburg,GER,"Feb 15, 2000 (23)",Breisach am Rhein,Germany,"1,86 m",Defensive Midfield,Unique Sports Group,Germany U21,15 / 0,na,23,,
Nicolas Höfler,/nicolas-hofler/profil/spieler/55099,€2.50m,SC Freiburg,GER,"Mar 9, 1990 (33)",Überlingen,Germany,"1,81 m",Defensive Midfield,,,Feb-00,right,33,,Germany U18
Maximilian Eggestein,/maximilian-eggestein/profil/spieler/190284,€10.00m,SC Freiburg,GER,"Dec 8, 1996 (26)",Hannover,Germany,"1,81 m",Central Midfield,ROOF,,0 / 0,right,26,,Germany
Merlin Röhl,/merlin-rohl/profil/spieler/608832,€2.00m,SC Freiburg,GER,"Jul 5, 2002 (21)",Berlin,Germany,"1,92 m",Central Midfield,,,Jan-00,na,21,Germany U21,
Daniel-Kofi Kyereh,/daniel-kofi-kyereh/profil/spieler/272587,€8.00m,SC Freiburg,GER,"Mar 8, 1996 (27)",Accra,Ghana,"1,79 m",Attacking Midfield,Alfaria sports GmbH,Ghana,18 / 0,right,27,,
Vincenzo Grifo,/vincenzo-grifo/profil/spieler/185077,€12.00m,SC Freiburg,GER,"Apr 7, 1993 (30)",Pforzheim,Italy,"1,80 m",Left Winger,ROOF,Italy,4-Sep,right,30,,
Noah Weißhaupt,/noah-weisshaupt/profil/spieler/392163,€4.00m,SC Freiburg,GER,"Sep 20, 2001 (21)",Rostock,Germany,"1,81 m",Left Winger,Unique Sports Group,Germany U21,Jun-00,right,21,,
Ritsu Doan,/ritsu-doan/profil/spieler/358504,€18.00m,SC Freiburg,GER,"Jun 16, 1998 (25)","Amagasaki, Hyogo",Japan,"1,72 m",Right Winger,CAA Stellar,,38 / 6,left,25,Japan,
Roland Sallai,/roland-sallai/profil/spieler/332798,€10.00m,SC Freiburg,GER,"May 22, 1997 (26)",Budapest,Hungary,"1,83 m",Right Winger,,,44 / 11,na,26,Hungary,
Maximilian Philipp,/maximilian-philipp/profil/spieler/143891,€2.00m,SC Freiburg,GER,"Mar 1, 1994 (29)",Berlin,Germany,"1,83 m",Second Striker,Unique Sports Group,,Oct-00,right,29,,Germany U21
Junior Adamu,/junior-adamu/profil/spieler/452477,€8.00m,SC Freiburg,GER,"Jun 6, 2001 (22)",Kano,Austria,"1,83 m",Centre-Forward,CAA Stellar,Austria,Jun-00,right,22,,
Michael Gregoritsch,/michael-gregoritsch/profil/spieler/120205,€8.00m,SC Freiburg,GER,"Apr 18, 1994 (29)",Graz,Austria,"1,93 m",Centre-Forward,ROGON,,47 / 10,left,29,Austria,
Lucas Höler,/lucas-holer/profil/spieler/248999,€5.00m,SC Freiburg,GER,"Jul 10, 1994 (29)",Achim,Germany,"1,84 m",Centre-Forward,Unique Sports Group,,,right,29,,
Oliver Baumann,/oliver-baumann/profil/spieler/55089,€4.00m,TSG 1899 Hoffenheim,GER,"Jun 2, 1990 (33)",Breisach am Rhein,Germany,"1,87 m",Goalkeeper,CN Sports,,0 / 0,right,33,Germany,
Luca Philipp,/luca-philipp/profil/spieler/432671,€300k,TSG 1899 Hoffenheim,GER,"Nov 28, 2000 (22)",Stuttgart,Germany,"1,92 m",Goalkeeper,,,Apr-00,,22,,Germany U21
Nahuel Noll,/nahuel-noll/profil/spieler/600942,€250k,TSG 1899 Hoffenheim,GER,"Mar 17, 2003 (20)",München,Germany,"1,91 m",Goalkeeper,VIDA 11,,Apr-00,na,20,Germany U20,
