name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,agent,national_player,caps/goals,foot,age,current_international,former_international
Andreas Müller,/andreas-muller/profil/spieler/438315,€1.00m,SV Darmstadt 98,GER,"Jul 20, 2000 (23)",Sinsheim,Germany,"1,73 m",Defensive Midfield,,,,right,23,,
Klaus Gjasula,/klaus-gjasula/profil/spieler/57598,€500k,SV Darmstadt 98,GER,"Dec 14, 1989 (33)",Tiranë,Albania,"1,90 m",Defensive Midfield,Sports eXcellence ...,,24 / 0,na,33,Albania,
Fabian Nürnberger,/fabian-nurnberger/profil/spieler/349433,€1.20m,SV Darmstadt 98,GER,"Jul 28, 1999 (24)",Hamburg,Germany,"1,81 m",Central Midfield,Unique Sports Group,,,left,24,,
Fabian Schnellhardt,/fabian-schnellhardt/profil/spieler/94148,€1.00m,SV Darmstadt 98,GER,"Jan 12, 1994 (29)",Leinefelde,Germany,"1,80 m",Central Midfield,ROOF,,2-May,left,29,,Germany U20
Tobias Kempe,/tobias-kempe/profil/spieler/42072,€500k,SV Darmstadt 98,GER,"Jun 27, 1989 (34)",Wesel,Germany,"1,84 m",Central Midfield,Unique Sports Group,,1-May,right,34,,Germany U20
Marvin Mehlem,/marvin-mehlem/profil/spieler/237226,€1.50m,SV Darmstadt 98,GER,"Sep 11, 1997 (26)",Karlsruhe,Germany,"1,74 m",Attacking Midfield,,,3-Aug,right,26,,Germany U19
Mathias Honsak,/mathias-honsak/profil/spieler/283497,€1.50m,SV Darmstadt 98,GER,"Dec 20, 1996 (26)",Wien,Austria,"1,88 m",Left Winger,HAGMAYR ...,,0 / 0,left,26,,Austria
Tim Skarke,/tim-skarke/profil/spieler/287920,€1.20m,SV Darmstadt 98,GER,"Sep 7, 1996 (27)",Heidenheim an der ...,Germany,"1,81 m",Right Winger,Unique Sports Group,,Jan-00,right,27,,Germany U21
Filip Stojilkovic,/filip-stojilkovic/profil/spieler/464195,€2.00m,SV Darmstadt 98,GER,"Jan 4, 2000 (23)",Zollikon,Switzerland,"1,86 m",Centre-Forward,Borteo Sports,Switzerland U21,25 / 2,right,23,,
Luca Pfeiffer,/luca-pfeiffer/profil/spieler/232463,€1.70m,SV Darmstadt 98,GER,"Aug 20, 1996 (27)",Bad Mergentheim,Germany,"1,96 m",Centre-Forward,,,,right,27,,
