name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,agent,current_international,caps/goals,foot,age,national_player,former_international
Ismaël Traoré,/ismael-traore/profil/spieler/57216,€300k,FC Metz,FRA,"Aug 18, 1986 (37)",Paris,Cote d'Ivoire,"1,84 m",Centre-Back,,,19 / 0,right,37,,Ivory Coast
Abou Lo,/abou-lo/profil/spieler/739076,€250k,FC Metz,FRA,"Jan 2, 2000 (23)",Dakar,Senegal,"1,83 m",Centre-Back,,,,right,23,,
Sadibou Sané,/sadibou-sane/profil/spieler/1111777,,FC Metz,FRA,"Jun 10, 2004 (19)",Diouloulou,Senegal,"1,85 m",Centre-Back,,,0 / 0,right,19,Senegal U20,
Matthieu Udol,/matthieu-udol/profil/spieler/344886,€2.50m,FC Metz,FRA,"Mar 20, 1996 (27)",Metz,France,"1,78 m",Left-Back,,,,left,27,,
Kevin Van Den Kerkhof,/kevin-van-den-kerkhof/profil/spieler/400680,€2.00m,FC Metz,FRA,"Mar 14, 1996 (27)",Saint-Saulve,Algeria,"1,90 m",Right-Back,,Algeria,Feb-00,right,27,,
Koffi Kouao,/koffi-kouao/profil/spieler/481513,€2.00m,FC Metz,FRA,"May 20, 1998 (25)",Abidjan,Cote d'Ivoire,"1,73 m",Right-Back,,,0 / 0,right,25,,Ivory Coast U23
Maxime Colin,/maxime-colin/profil/spieler/156618,€1.20m,FC Metz,FRA,"Nov 15, 1991 (31)",Arras,France,"1,80 m",Right-Back,,,Jul-00,right,31,,France U20
Habib Maïga,/habib-maiga/profil/spieler/293944,€2.50m,FC Metz,FRA,"Jan 1, 1996 (27)",Gagnoa,Cote d'Ivoire,"1,81 m",Defensive Midfield,SEG,,13 / 0,right,27,,Ivory Coast
Kévin N'Doram,/kevin-ndoram/profil/spieler/342209,€1.50m,FC Metz,FRA,"Jan 22, 1996 (27)",Saint-Sébastien-sur...,France,"1,84 m",Defensive Midfield,,,Feb-00,right,27,,France U21
Danley Jean Jacques,/danley-jean-jacques/profil/spieler/628834,€1.50m,FC Metz,FRA,"May 20, 2000 (23)",Petit-Goâve,Haiti,"1,82 m",Defensive Midfield,,Haiti,1-May,right,23,,
Arthur Atta,/arthur-atta/profil/spieler/855308,€500k,FC Metz,FRA,"Jan 14, 2003 (20)",Rennes,France,"1,89 m",Defensive Midfield,,,0 / 0,right,20,France U20,
Jean N'Guessan,/jean-nguessan/profil/spieler/837329,€1.20m,FC Metz,FRA,"Apr 17, 2003 (20)",Daloa,Cote d'Ivoire,"1,77 m",Central Midfield,,Ivory Coast U23,0 / 0,right,20,,
Sami Lahssaini,/sami-lahssaini/profil/spieler/535706,€450k,FC Metz,FRA,"Sep 18, 1998 (24)",Liège,Belgium,"1,77 m",Central Midfield,,,,right,24,,
Joseph Nduquidi,/joseph-nduquidi/profil/spieler/919620,€250k,FC Metz,FRA,"Oct 31, 2004 (18)",Forbach,France,"1,87 m",Central Midfield,,,,,18,,
Lamine Camara,/lamine-camara/profil/spieler/918969,€200k,FC Metz,FRA,"Jan 1, 2004 (19)",Diouloulou,Senegal,"1,73 m",Central Midfield,,Senegal U23,Feb-00,right,19,,
Cheikh Sabaly,/cheikh-sabaly/profil/spieler/568696,€700k,FC Metz,FRA,"Mar 4, 1999 (24)",Kolda,Senegal,"1,68 m",Left Winger,,,,right,24,,
Ablie Jallow,/ablie-jallow/profil/spieler/366045,€1.50m,FC Metz,FRA,"Nov 14, 1998 (24)",Bundung,The Gambia,"1,66 m",Right Winger,,The Gambia,27 / 7,left,24,,
Joel Asoro,/joel-asoro/profil/spieler/375391,€1.50m,FC Metz,FRA,"Apr 27, 1999 (24)",Haninge,Sweden,"1,76 m",Right Winger,,,1-Feb,right,24,Sweden,
Warren Tchimbembé,/warren-tchimbembe/profil/spieler/591914,€500k,FC Metz,FRA,"Apr 21, 1998 (25)",Gonesse,Congo,"1,80 m",Right Winger,,Congo,Feb-00,right,25,,
Malick Mbaye,/malick-mbaye/profil/spieler/707063,€150k,FC Metz,FRA,"Apr 6, 2004 (19)",Diohine,Senegal,"1,73 m",Right Winger,,,0 / 0,right,19,Senegal,
Óscar Estupiñán,/oscar-estupinan/profil/spieler/388266,€5.00m,FC Metz,FRA,"Dec 29, 1996 (26)",Santiago de Cali,Colombia,"1,82 m",Centre-Forward,,,Jan-00,left,26,Colombia,
Benjamin Tetteh,/benjamin-tetteh/profil/spieler/306382,€1.50m,FC Metz,FRA,"Jul 10, 1997 (26)",Accra,Ghana,"1,93 m",Centre-Forward,SPOCS Global Sports,,Jul-00,right,26,,Ghana
Simon Elisor,/simon-elisor/profil/spieler/804661,€800k,FC Metz,FRA,"Jul 22, 1999 (24)",Périgueux,France,"1,85 m",Centre-Forward,,,,left,24,,
Ibou Sané,/ibou-sane/profil/spieler/1111776,,FC Metz,FRA,"Mar 28, 2005 (18)",Diégoune,Senegal,"1,80 m",Centre-Forward,,,1-Feb,right,18,Senegal U20,
