name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,agent,current_international,caps/goals,foot,age,national_player,former_international
Adrien Thomasson,/adrien-thomasson/profil/spieler/215977,€6.00m,RC Lens,FRA,"Dec 10, 1993 (29)",Bourg-Saint-Maurice,France,"1,75 m",Attacking Midfield,,,,right,29,,
Nolan Bonte,/nolan-bonte/profil/spieler/1052885,€100k,RC Lens,FRA,"Jan 19, 2004 (19)",Montivilliers,France,"1,75 m",Attacking Midfield,,,,right,19,,
Ayanda Sishuba,/ayanda-sishuba/profil/spieler/977877,,RC Lens,FRA,"Feb 2, 2005 (18)",Tournai,Belgium,"1,69 m",Attacking Midfield,,Belgium U19,0 / 0,right,18,,
Óscar Cortés,/oscar-cortes/profil/spieler/975689,€4.20m,RC Lens,FRA,"Dec 3, 2003 (19)",Tumaco,Colombia,"1,78 m",Right Winger,,Colombia U20,25 / 11,right,19,,
Morgan Guilavogui,/morgan-guilavogui/profil/spieler/691786,€2.50m,RC Lens,FRA,"Mar 10, 1998 (25)",Ollioules,Guinea,"1,89 m",Right Winger,,Guinea,1-Nov,right,25,,
Elye Wahi,/elye-wahi/profil/spieler/659542,€35.00m,RC Lens,FRA,"Jan 2, 2003 (20)",Courcouronnes,France,"1,81 m",Centre-Forward,,France U21,1-Mar,right,20,,
Florian Sotoca,/florian-sotoca/profil/spieler/354726,€4.00m,RC Lens,FRA,"Oct 25, 1990 (32)",Narbonne,France,"1,87 m",Centre-Forward,,,,right,32,,
Wesley Saïd,/wesley-said/profil/spieler/182916,€2.00m,RC Lens,FRA,"Apr 19, 1995 (28)",Noisy-le-Grand,France,"1,71 m",Centre-Forward,,,Jan-00,right,28,,France U21
Ibrahima Baldé,/ibrahima-balde/profil/spieler/804884,€400k,RC Lens,FRA,"Jan 17, 2003 (20)",Paris,France,"1,85 m",Centre-Forward,,,Jan-00,right,20,,France U17
Anthony Lopes,/anthony-lopes/profil/spieler/60561,€8.00m,Olympique Lyon,FRA,"Oct 1, 1990 (32)",Givors,Portugal,"1,84 m",Goalkeeper,,,14 / 0,left,32,,Portugal
Rémy Riou,/remy-riou/profil/spieler/18940,€400k,Olympique Lyon,FRA,"Aug 6, 1987 (36)",Lyon,France,"1,91 m",Goalkeeper,,,Jun-00,right,36,,France U21
Duje Caleta-Car,/duje-caleta-car/profil/spieler/238266,€11.00m,Olympique Lyon,FRA,"Sep 17, 1996 (26)",Šibenik,Croatia,"1,93 m",Centre-Back,CAA Stellar,,23 / 1,right,26,,Croatia
Sinaly Diomandé,/sinaly-diomande/profil/spieler/702441,€9.00m,Olympique Lyon,FRA,"Apr 9, 2001 (22)",Yopougon,Cote d'Ivoire,"1,84 m",Centre-Back,,,Nov-00,right,22,Ivory Coast,
